日期,代號,名稱,資買,資賣,現償,資餘額,券賣,券買,券償,券餘額
20260102,1240,茂生農經,0,0,0,52,0,0,0,0
20260102,1259,安心,0,0,0,39,0,0,0,0
20260102,1264,德麥,0,0,0,0,0,0,0,0
20260102,1268,漢來美食,3,0,0,106,0,0,0,0
20260102,1294,漢田生技,1,0,0,21,0,0,0,0
20260102,1295,生合,1,3,0,22,0,0,0,0
20260102,1336,台翰,1,8,0,2585,0,0,0,1
20260102,1565,精華,1,8,15,965,5,0,0,7
20260102,1569,濱川,165,118,0,14859,10,6,0,521
20260102,1570,力肯,0,20,0,1845,0,0,0,19
20260102,1580,新麥,0,0,0,27,0,0,0,0
20260102,1584,精剛,13,123,0,7827,0,0,0,17
20260102,1586,和勤,141,216,0,14717,0,0,0,0
20260102,1591,駿吉-KY,471,137,1,2044,0,0,0,4
20260102,1593,祺驊,6,2,0,149,0,0,0,0
20260102,1595,川寶,49,78,0,1945,0,2,0,8
20260102,1599,宏佳騰,1,1,0,387,0,0,2,0
20260102,1742,台蠟,73,0,0,2694,1,0,0,1
20260102,1777,生泰,0,0,0,42,0,0,0,0
20260102,1781,合世,0,0,0,0,0,0,0,0
20260102,1784,訊聯,118,60,5,2610,2,0,0,15
20260102,1785,光洋科,1934,1756,16,31505,2,15,0,201
20260102,1788,杏昌,0,0,0,1,0,0,0,0
20260102,1796,金穎生技,5,0,0,280,0,0,0,0
20260102,1799,易威,0,0,0,0,0,0,0,0
20260102,1813,寶利徠,0,0,0,56,0,0,0,0
20260102,1815,富喬,6611,9510,290,78879,87,717,61,4220
20260102,2035,唐榮,0,0,0,1,0,0,0,0
20260102,2061,風青,48,62,0,3671,0,1,0,0
20260102,2063,世鎧,0,0,0,133,0,0,0,0
20260102,2064,晉椿,0,0,0,32,0,0,0,0
20260102,2065,世豐,0,1,0,146,0,0,0,0
20260102,2066,世德,2,0,2,4248,0,0,0,0
20260102,2067,嘉鋼,0,0,0,0,0,0,0,0
20260102,2070,精湛,38,21,0,1937,0,0,0,0
20260102,2221,大甲,2,2,0,104,0,0,0,0
20260102,2230,泰茂,21,5,0,4943,1,9,0,52
20260102,2235,謚源,0,0,0,37,0,0,0,0
20260102,2596,綠意,0,1,0,1740,0,0,0,0
20260102,2640,大車隊,9,0,0,70,0,0,0,0
20260102,2641,正德,122,539,0,11638,0,1,0,1892
20260102,2643,捷迅,0,4,0,85,0,0,0,0
20260102,2718,全心投控,7,1,0,260,0,0,0,0
20260102,2719,燦星旅,0,0,0,90,0,0,0,0
20260102,2724,藝舍-KY,0,0,0,0,0,0,0,0
20260102,2726,雅茗-KY,12,16,0,304,0,0,0,0
20260102,2729,瓦城,0,0,0,10,0,0,0,0
20260102,2732,六角,2,3,2,271,0,0,0,0
20260102,2734,易飛網,2,0,0,636,0,0,0,0
20260102,2736,富野,30,0,2,891,0,0,0,32
20260102,2743,山富,17,71,1,951,0,0,0,21
20260102,2745,五福,34,18,0,1337,0,7,0,6
20260102,2751,王座,0,0,0,1,0,0,0,0
20260102,2754,亞洲藏壽司,4,1,1,202,0,0,0,0
20260102,2755,揚秦,0,0,0,80,0,0,0,2
20260102,2756,聯發國際,23,29,0,213,21,0,0,21
20260102,2916,滿心,0,0,0,284,0,0,0,0
20260102,2924,宏太-KY,0,0,0,5,0,0,0,0
20260102,2926,誠品生活,0,0,0,33,0,0,0,0
20260102,3064,泰偉,0,0,0,0,0,0,0,0
20260102,3066,李洲,2,0,0,551,0,0,0,0
20260102,3071,協禧,18,30,0,1366,0,0,0,3
20260102,3073,天方能源,1,3,0,725,0,0,0,18
20260102,3078,僑威,53,22,0,5949,0,2,0,14
20260102,3081,聯亞,29,140,10,6640,9,3,0,499
20260102,3083,網龍,9,21,3,1269,0,0,0,1
20260102,3085,新零售,0,0,0,0,0,0,0,0
20260102,3086,華義,7,3,1,824,0,1,0,43
20260102,3088,艾訊,1,8,0,2985,0,0,0,6
20260102,3093,港建*,27,7,1,1442,0,0,0,0
20260102,3095,及成,0,0,0,5,0,0,0,0
20260102,3105,穩懋,1882,1129,3,24712,9,68,0,865
20260102,3114,好德,33,64,0,577,0,0,0,0
20260102,3118,進階,0,1,0,46,0,0,0,0
20260102,3122,笙泉,0,25,7,643,0,0,0,25
20260102,3128,昇銳,67,60,0,2392,9,8,0,73
20260102,3131,弘塑,141,45,0,574,0,0,0,1
20260102,3141,晶宏,23,26,0,4420,0,6,0,10
20260102,3147,大綜,8,7,0,1423,0,0,0,2
20260102,3152,璟德,88,134,1,1131,0,15,0,47
20260102,3162,精確,466,559,10,6732,9,0,0,24
20260102,3163,波若威,928,624,0,10749,84,64,0,2002
20260102,3169,亞信,13,21,6,974,0,0,0,6
20260102,3171,炎洲流通,0,0,0,479,0,0,0,0
20260102,3176,基亞,27,16,0,651,0,0,0,0
20260102,3178,公準,27,31,2,934,0,4,0,3
20260102,3188,鑫龍騰,45,10,0,2448,0,6,34,43
20260102,3191,雲嘉南,0,0,0,0,0,0,0,0
20260102,3205,佰研,9,13,0,1209,1,0,0,79
20260102,3206,志豐,0,0,1,323,0,0,0,0
20260102,3207,耀勝,280,58,0,5757,0,0,0,30
20260102,3211,順達,438,495,1,4599,3,45,0,586
20260102,3213,茂訊,36,30,0,2108,1,4,0,6
20260102,3217,優群,22,28,0,1873,0,0,0,0
20260102,3218,大學光,4,4,0,580,0,0,0,0
20260102,3219,倚強科,566,482,0,1658,0,30,0,48
20260102,3221,台嘉碩,384,125,0,1900,1,0,0,11
20260102,3224,三顧,18,20,134,9232,0,0,0,1
20260102,3226,龍鋒,1,0,0,18,0,0,0,0
20260102,3227,原相,227,177,1,4891,1,5,0,22
20260102,3228,金麗科,0,0,0,0,0,0,0,0
20260102,3230,錦明,15,5,0,10910,0,0,0,65
20260102,3232,昱捷,3,1,0,2687,0,0,0,0
20260102,3234,光環,0,0,0,0,0,0,0,0
20260102,3236,千如,1154,1163,0,4636,53,12,0,292
20260102,3252,海灣,0,0,0,12295,0,0,0,0
20260102,3259,鑫創,0,0,0,0,0,0,0,0
20260102,3260,威剛,1522,1835,5,12367,63,583,3,2393
20260102,3264,欣銓,2747,2435,0,16312,140,191,1,978
20260102,3265,台星科,432,509,1,4310,2,15,0,69
20260102,3268,海德威,20,45,0,1031,0,0,0,0
