日期,代號,名稱,收市,漲跌,開市,最高,最低,筆數,單位,金額,明日參價
20260202,11011,台泥一永,99.8,,99.95,100,99.8,19,138,13782450,99.8
20260202,12561,鮮活果汁一KY,,,,,,,,,98
20260202,13166,上曜六,,,,,,,,,105.7
20260202,13382,廣華二KY,101.75,0.25,101.75,101.75,101.75,4,8,814000,101.75
20260202,140201,遠東新E1永,,,,,,,,,104.85
20260202,140202,遠東新E2永,,,,,,,,,97.4
20260202,14363,華友聯三,99.9,,99.9,99.9,99.9,2,2,199800,99.9
20260202,14364,華友聯四,,,,,,,,,95.35
20260202,14381,三地開發一,,,,,,,,,119.7
20260202,14664,聚隆四,,,,,,,,,105.15
20260202,14722,三洋實業二,103.4,0.05,103.3,103.4,103.3,6,13,1343000,103.4
20260202,14723,三洋實業三,,,,,,,,,96.55
20260202,14743,弘裕三,,,,,,,,,92.55
20260202,15142,亞力二,128.85,1.85,126.8,128.85,126.1,34,43,5477150,128.85
20260202,15261,日馳一,97.5,-0.65,97.5,97.5,97.5,1,1,97500,97.5
20260202,15364,和大四,98.7,-1.05,98.6,99.35,98.6,9,24,2368450,98.7
20260202,15601,中砂一,145.5,1.75,142.3,146,142.3,29,60,8640000,145.5
20260202,15864,和勤四,105.8,-4.2,105.8,105.8,105.8,1,1,105800,105.8
20260202,15865,和勤五,99.55,-0.7,99.55,99.55,99.55,1,1,99550,99.55
20260202,15894,永冠四KY,100.95,,101,101,100.95,7,65,6562500,100.95
20260202,15952,川寶二,,,,,,,,,117.65
20260202,15984,岱宇四,96.5,,96.5,96.5,96.5,3,7,675500,96.5
20260202,16095,大亞五,109,-1.35,108.5,109.2,107.45,53,112,12144550,109
20260202,17813,合世三,102.75,-2.25,102.6,102.75,102.6,4,8,821500,102.75
20260202,17863,科妍三,,,,,,,,,123
20260202,18156,富喬六,,,,,,,,,765
20260202,19094,榮成四,,,,,,,,,96.55
20260202,20344,允強四,110.95,-0.05,111,111,110.95,3,14,1553900,110.95
20260202,20662,世德二,97.75,,97.8,97.8,97.75,2,20,1955100,97.75
20260202,21043,國際中橡三,,,,,,,,,99.1
20260202,22013,裕隆三,,,,,,,,,99.6
20260202,22283,劍麟三,115,-0.55,115,115,114.95,10,24,2759600,115
20260202,22331,宇隆一,136,-5.9,137.9,140.5,135.5,236,849,116206900,136
20260202,22362,百達二KY,,,,,,,,,190
20260202,22471,汎德永業一,104.5,-0.5,104,104.5,104,7,8,834700,104.5
20260202,22472,汎德永業二,,,,,,,,,105.9
20260202,23372,旺宏二,365,-40,385,385,365,16,41,15372000,365
20260202,23383,光罩三,,,,,,,,,98.15
20260202,23511,順德一,128.5,-1.15,125.05,129.1,125.05,29,66,8338200,128.5
20260202,23683,金像電三,162,,162,163,155,184,714,114246000,162
20260202,23742,佳能二,111.1,10.1,111.1,111.1,111.1,75,475,52772500,111.1
20260202,24023,毅嘉三,121.5,0.5,120,123.45,120,17,22,2677650,121.5
20260202,24271,三商電一,103.45,-0.2,103.6,103.6,103.45,3,3,310550,103.45
20260202,24361,偉詮電一,108.55,-1.8,109.4,109.4,108.55,5,6,655550,108.55
20260202,24394,美律四,105,,105,105,105,2,3,315000,105
20260202,24395,美律五,105.2,1.2,103.1,105.2,103,12,26,2681350,105.2
20260202,24423,新美齊三,96.75,-0.25,97.9,97.9,96.6,6,6,581650,96.75
20260202,24424,新美齊四,,,,,,,,,97
20260202,24552,全新二,136,-4,138,138,132,133,302,40648900,136
20260202,24553,全新三,136.55,-2.45,137,137.3,135.8,28,78,10643950,136.55
20260202,24616,光群雷六,,,,,,,,,138
20260202,24624,良得電四,,,,,,,,,101.2
20260202,24642,盟立二,105.6,-2.4,105.6,105.6,105.6,1,1,105600,105.6
20260202,24672,志聖二,125,-0.5,125.5,125.8,122,39,85,10520600,125
20260202,24673,志聖三,124,-1.3,124.5,126.35,122,101,415,51640300,124
20260202,24762,鉅祥二,,,,,,,,,127.5
20260202,24866,一詮六,125.5,-3,124,125.5,124,7,23,2854000,125.5
20260202,25283,皇普三,,,,,,,,,106
20260202,25284,皇普四,91.9,-0.1,91.9,91.9,91.9,6,7,643300,91.9
20260202,25303,華建三,96.75,0.05,96.75,96.75,96.75,1,2,193500,96.75
20260202,25304,華建四,98,-0.2,98.2,98.2,97.5,6,11,1076350,98
20260202,25483,華固三,102.45,-0.05,102.5,102.5,102.3,10,41,4200050,102.45
20260202,25484,華固四,103.95,0.5,103,103.95,103,7,22,2266950,103.95
20260202,26107,華航七,,,,,,,,,134
20260202,26417,正德七,,,,,,,,,101.1
20260202,26418,正德八,,,,,,,,,109.7
20260202,27271,王品一,104.15,-0.65,104,104.2,103,19,36,3723000,104.15
20260202,27323,六角三,,,,,,,,,100.65
20260202,27324,六角四,,,,,,,,,104.1
20260202,27431,山富一,102.35,0.05,102.35,102.35,102.35,3,8,818800,102.35
20260202,27451,五福一,109,-0.1,105.5,109,105.5,6,25,2657000,109
20260202,27531,八方雲集一,108.5,0.2,108.5,108.5,108.5,4,10,1085000,108.5
20260202,27532,八方雲集二,,,,,,,,,108
20260202,27551,揚秦一,,,,,,,,,133
20260202,27561,聯發國際一,,,,,,,,,108
20260202,29061,高林一,,,,,,,,,99.5
20260202,30061,晶豪科一,217,-16,227,229,215,77,235,51864000,217
20260202,30134,晟銘電四,116.6,0.65,112.55,116.65,112.55,12,21,2412650,116.6
20260202,30165,嘉晶五,112,-3,111.8,112,111.8,7,21,2348400,112
20260202,30321,偉訓一,93.4,,93.15,93.4,93.1,3,3,279650,93.4
20260202,30322,偉訓二,94.45,-0.05,94,94.45,94,2,3,282900,94.45
20260202,30336,威健六,130.95,0.15,130.95,130.95,130.95,1,1,130950,130.95
20260202,30337,威健七,104.5,0.5,104,104.5,104,2,21,2184500,104.5
20260202,30371,欣興一,221,-6,222,226,215,215,523,115935000,221
20260202,30401,遠見一,113.1,1.1,109,113.1,109,11,18,1987400,113.1
20260202,30454,台灣大四,98.35,-0.05,98.35,98.35,98.35,2,3,295050,98.35
20260202,30455,台灣大五,101.85,-0.05,101.85,101.85,101.85,2,5,509250,101.85
20260202,30882,艾訊二,,,,,,,,,109.95
20260202,30922,鴻碩二,,,,,,,,,98.95
20260202,30954,及成四,,,,,,,,,112.35
20260202,31222,笙泉二,99.4,-0.6,99.4,99.4,99.4,1,3,298200,99.4
20260202,31282,昇銳二,,,,,,,,,99
20260202,31311,弘塑一,120.9,-2.6,120.15,120.95,119.45,48,97,11648150,120.9
20260202,31312,弘塑二,125.8,-1.7,126.95,126.95,125,26,52,6537300,125.8
20260202,31351,凌航一,195,-10,200,200,190,29,59,11469000,195
20260202,31382,耀登二,142.1,-12.9,156,157,140.55,36,83,12240950,142.1
20260202,31413,晶宏三,,,,,,,,,99.95
20260202,31672,大量二,127,-4,128.05,128.05,127,16,45,5729600,127
20260202,31882,鑫龍騰二,,,,,,,,,98
20260202,32071,耀勝一,101,0.2,100.8,101,100.7,7,7,705450,101
20260202,32571,虹冠電一,,,,,,,,,115
20260202,32608,威剛八,163,-6,167,167,159,145,433,70310000,163
20260202,32723,東碩三,,,,,,,,,93.5
20260202,32843,太普高三,,,,,,,,,96
20260202,33035,岱稜五,,,,,,,,,100
20260202,33055,昇貿五,,,,,,,,,148
20260202,33121,弘憶股一,,,,,,,,,94.45
20260202,33133,斐成三,109.8,0.85,109.8,109.8,109.8,1,1,109800,109.8
20260202,33225,建舜電五,,,,,,,,,98.45
20260202,33233,加百裕三,120,3.9,120,120,120,1,1,120000,120
20260202,33245,雙鴻五,148.5,4.8,146,148.5,146,30,65,9592600,148.5
20260202,33466,麗清六,,,,,,,,,97.55
20260202,33571,臺慶科一,137.5,-8.2,144,144,135.1,38,59,8145750,137.5
20260202,33621,先進光一,105.2,-0.95,105.2,105.2,105.2,1,1,105200,105.2
20260202,33763,新日興三,127,-1.75,126,127.2,125.65,14,27,3415200,127
20260202,33881,崇越電一,,,,,,,,,106.45
20260202,33902,旭軟二,,,,,,,,,122
20260202,34163,融程電三,127.5,-2.5,128,128,127.4,3,12,1534900,127.5
20260202,34793,安勤三,106,-0.05,106,106,106,2,2,212000,106
20260202,34834,力致四,105.5,3.2,104.5,105.5,104.5,7,10,1048000,105.5
20260202,34843,崧騰三,,,,,,,,,124
20260202,35161,亞帝歐一,105.8,-0.2,105.8,105.8,105.8,1,2,211600,105.8
20260202,35181,柏騰一,,,,,,,,,104
20260202,35221,御嵿一,,,,,,,,,107
20260202,35265,凡甲五,,,,,,,,,153
20260202,35266,凡甲六,133,-0.35,132.2,133,132.2,4,7,927800,133
20260202,35267,凡甲七,115.1,-1.8,115.15,115.15,115,8,25,2876700,115.1
20260202,35431,州巧一,127.7,-1.3,130,130,127.5,10,17,2170500,127.7
20260202,35482,兆利二,102.75,0.75,102.75,102.75,102.75,6,177,18186750,102.75
20260202,35483,兆利三,,,,,,,,,101.95
20260202,35513,世禾三,126,,126,126,125.2,9,25,3142250,126
20260202,35642,其陽二,,,,,,,,,95
20260202,35831,辛耘一,115.5,,115.5,115.5,115.5,4,8,924000,115.5
20260202,35832,辛耘二,117,0.25,116,117,116,15,23,2679250,117
20260202,35871,閎康一,116.05,-0.45,115,116.5,114.5,41,72,8338950,116.05
20260202,35914,艾笛森四,,,,,,,,,103.5
20260202,36053,宏致三,,,,,,,,,130.9
20260202,36173,碩天三,104.5,,105,105,104.5,11,36,3771800,104.5
20260202,36804,家登四,126.25,,126.25,126.25,126.25,4,4,505000,126.25
20260202,36841,榮昌一,,,,,,,,,119
20260202,36872,歐買尬二,105.7,-1.05,104.15,106.75,104.1,5,9,941250,105.7
20260202,36873,歐買尬三,,,,,,,,,103.2
20260202,36894,湧德四,,,,,,,,,180
20260202,36913,碩禾三,113.8,-0.7,114.4,114.5,113.45,23,38,4323150,113.8
20260202,37012,大眾控二,,,,,,,,,100.05
20260202,370201,大聯大E1,110,-0.5,111,111.5,110,74,385,42652800,110
20260202,37022,大聯大二,100.95,-0.05,101,101,100.95,4,9,908950,100.95
20260202,37023,大聯大三,,,,,,,,,103.3
20260202,37075,漢磊五,,,,,,,,,149
