日期,代號,名稱,名目本金,成交筆數,權利金最低,權利金最高,權利金平均,契約期間
20260302,140202,遠東新E2永,500000,1,1.73,1.73,1.73,2
20260302,14664,聚隆四,2300000,8,19.45,21.4,20.3004,3
20260302,14722,三洋實業二,1300000,1,7.61,7.61,7.61,2
20260302,15142,亞力二,1000000,5,36.42,37.02,36.562,2
20260302,15601,中砂一,600000,6,80.38,82.38,81.2733,2
20260302,15864,和勤四,300000,2,4.65,5.45,4.9167,1
20260302,16095,大亞五,1700000,4,10.78,12.5736,12.4229,2
20260302,20344,允強四,300000,1,10.63,10.63,10.63,2
20260302,21043,國際中橡三,200000,1,0.23,0.23,0.23,1
20260302,22283,劍麟三,300000,2,19.17,23.78,20.7067,2
20260302,22331,宇隆一,2100000,11,33.99,34.96,34.37,3
20260302,22471,汎德永業一,1400000,5,9.75,11.44,10.23,3
20260302,22472,汎德永業二,23500000,6,11.9,13.28,11.9263,3
20260302,23511,順德一,200000,1,38.24,38.24,38.24,3
20260302,23683,金像電三,4400000,18,80.37,84.87,81.8241,3
20260302,23742,佳能二,2800000,10,29.32,30.7,29.7825,3
20260302,24023,毅嘉三,9000000,23,30.46,37.63,36.1076,2
20260302,24361,偉詮電一,1800000,2,21.96,25.6389,23.7994,1
20260302,24394,美律四,600000,2,6.42,7.32,6.57,2
20260302,24552,全新二,9000000,25,70.8,79.73,74.7842,3
20260302,24553,全新三,32600000,9,84.77,89.76,88.5031,3
20260302,24672,志聖二,12700000,32,47.12,55.29,52.3672,2
20260302,24673,志聖三,14900000,29,42.72,55.46,52.4217,2
20260302,24762,鉅祥二,500000,1,36.19,36.19,36.19,1
20260302,25483,華固三,1300000,3,9.64,10.15,9.7269,2
20260302,25484,華固四,400000,2,11.01,11.89,11.45,2
20260302,26107,華航七,600000,3,18.51,19.35,18.885,1
20260302,27271,王品一,106500000,28,10.22,11.24,10.7068,3
20260302,27431,山富一,300000,2,8.57,8.57,8.57,2
20260302,27531,八方雲集一,6400000,7,12.9,13.66,13.1088,3
20260302,30134,晟銘電四,600000,2,20.3,21.55,21.3417,2
20260302,30371,欣興一,1200000,4,201.0467,208.53,204.2342,3
20260302,30455,台灣大五,1900000,4,6.67,7.1867,6.9963,2
20260302,30882,艾訊二,100000,1,8.9,8.9,8.9,1
20260302,31311,弘塑一,4300000,18,35.34,36.1,35.593,3
20260302,31312,弘塑二,1000000,7,33.68,37.62,36.046,3
20260302,31672,大量二,100000,1,93.73,93.73,93.73,3
20260302,32608,威剛八,9900000,27,48.81,53.13,49.7436,2
20260302,33245,雙鴻五,2600000,16,69.2,75.33,72.5781,2
20260302,33621,先進光一,200000,2,4.41,4.61,4.51,2
20260302,33763,新日興三,2700000,10,30.23,35.68,34.8393,2
20260302,33881,崇越電一,800000,6,10.77,11.04,10.9513,2
20260302,33902,旭軟二,1000000,6,29.12,30.35,29.845,2
20260302,34793,安勤三,700000,3,10.21,10.6433,10.5671,1
20260302,35267,凡甲七,8600000,9,33.19,34.72,33.5399,3
20260302,35482,兆利二,500000,4,3.54,4.07,3.904,1
20260302,35483,兆利三,600000,1,5.97,5.97,5.97,2
20260302,35513,世禾三,700000,4,37.365,37.49,37.4257,3
20260302,35832,辛耘二,3400000,14,24.82,26.87,26.2662,1
20260302,35871,閎康一,4400000,10,20.06,21.06,20.7386,1
20260302,35872,閎康二,5800000,15,40.0133,43.64,41.1595,3
20260302,36053,宏致三,800000,1,36.7125,36.7125,36.7125,2
20260302,36173,碩天三,3000000,7,9.69,10.13,9.8773,3
20260302,36804,家登四,500000,2,31.1,31.11,31.106,1
20260302,36841,榮昌一,300000,2,37.9,38.3,38.1667,2
20260302,36913,碩禾三,19700000,42,25.6,28.82,27.2483,2
20260302,370201,大聯大E1,4800000,5,29.96,32.21,31.6963,3
20260302,37022,大聯大二,1200000,2,8.1,8.16,8.11,2
20260302,37023,大聯大三,500000,3,8.9,10.4,9.53,2
20260302,37083,上緯投控三,200000,2,48.31,49.32,48.815,1
20260302,41236,晟德六,800000,4,29.26,31.86,30.7638,3
20260302,41295,聯合五,900000,2,22.08,22.47,22.2967,3
20260302,41684,醣聯四,600000,4,21.92,22.72,22.27,3
20260302,45491,桓達一,500000,1,8.35,8.35,8.35,2
20260302,45554,氣立四,700000,4,10.54,11.49,11.1971,3
20260302,47223,國精化三,7100000,23,52.87,60.06,56.1589,3
20260302,47393,康普三,10300000,25,7.55,10.25,9.1287,1
20260302,47394,康普四,12400000,43,35.41,39.8,38.6777,3
20260302,47721,台特化一,24700000,54,39.6,46.85,43.5518,3
20260302,49066,正文六,500000,2,8.72,8.74,8.724,1
20260302,49674,十銓四,20400000,29,50.42,52.28,51.4561,3
20260302,52011,凱衛一,1800000,2,25.01,25.64,25.29,3
