日期,代號,名稱,借券賣出,借券還券,當日餘額,參考價
20260202,1101,台泥,5998000,1377000,183410000,25.9
20260202,1102,亞泥,3750000,838000,68416000,34.6
20260202,1103,嘉泥,45000,0,2445000,14.05
20260202,1104,環泥,5000,0,6415000,29.4
20260202,1108,幸福,0,0,686000,15
20260202,1109,信大,0,0,566000,15.45
20260202,1110,東泥,0,0,1306000,15.9
20260202,1201,味全,258000,23000,2439000,14.4
20260202,1203,味王,0,0,50000,39.25
20260202,1210,大成,156000,352000,11477000,50.7
20260202,1215,卜蜂,21000,45000,5840000,148
20260202,1216,統一,4220000,2820000,172600000,71.6
20260202,1217,愛之味,26000,0,6746000,10.4
20260202,1218,泰山,61000,0,6858000,18.1
20260202,1219,福壽,0,0,1546000,13.5
20260202,1220,台榮,0,0,652000,12.85
20260202,1227,佳格,300000,61000,14174000,28.8
20260202,1229,聯華,153000,201000,14846000,45.45
20260202,1231,聯華食,89000,13000,5828000,93.5
20260202,1232,大統益,0,0,367000,145
20260202,1233,天仁,1000,0,128000,32.05
20260202,1234,黑松,0,0,1203000,36.85
20260202,1235,興泰,0,0,41000,42.95
20260202,1236,宏亞,0,0,146000,26.3
20260202,1240,茂生農經,0,0,23000,59.9
20260202,1256,鮮活果汁-KY,2000,0,280000,156.5
20260202,1259,安心,0,0,16000,59.1
20260202,1264,德麥,0,0,48000,279
20260202,1268,漢來美食,0,0,67000,158
20260202,1294,漢田生技,0,0,74000,75.5
20260202,1295,生合,2000,0,462000,79.5
20260202,1301,台塑,3020000,2635000,236865000,44.3
20260202,1303,南亞,4526000,1378000,78202000,70.6
20260202,1304,台聚,714000,67000,17052000,11.05
20260202,1305,華夏,97000,0,13311000,11.6
20260202,1307,三芳,162000,20000,6656000,30.8
20260202,1308,亞聚,171000,3000,8972000,13.15
20260202,1309,台達化,5000,0,5585000,11.55
20260202,1310,台苯,21000,405000,8052000,8.85
20260202,1312,國喬,163000,0,47165000,12.8
20260202,1313,聯成,36000,32000,9343000,10.25
20260202,1314,中石化,1360000,370000,149708000,7.83
20260202,1315,達新,0,0,38000,64
20260202,1316,上曜,92000,0,18410000,13.7
20260202,1319,東陽,98000,103000,13652000,108
20260202,1321,大洋,3000,3000,1606000,33.1
20260202,1323,永裕,0,0,236000,18.75
20260202,1324,地球,0,0,158000,10.75
20260202,1325,恆大,12000,9000,1659000,30.85
20260202,1326,台化,538000,2285000,113374000,38.95
20260202,1336,台翰,0,0,474000,15.95
20260202,1337,再生-KY,4000,0,1299000,5.62
20260202,1338,廣華-KY,1000,0,394000,19.85
20260202,1339,昭輝,1000,0,217000,42.15
