日期,代號,名稱,借券賣出,借券還券,當日餘額,參考價
20260102,1101,台泥,9230000,5552000,178165000,23
20260102,1102,亞泥,3243000,6125000,44413000,37.7
20260102,1103,嘉泥,0,22000,2602000,13.85
20260102,1104,環泥,4000,0,6620000,29.85
20260102,1108,幸福,0,0,708000,14.9
20260102,1109,信大,0,0,565000,15.45
20260102,1110,東泥,7000,1000,1333000,16.3
20260102,1201,味全,0,1000,2237000,14.5
20260102,1203,味王,0,0,49000,39.75
20260102,1210,大成,8000,115000,12214000,51.3
20260102,1215,卜蜂,453000,133000,6476000,132
20260102,1216,統一,3085000,306000,146190000,77.4
20260102,1217,愛之味,0,271000,7228000,10.5
20260102,1218,泰山,0,99000,7747000,18.15
20260102,1219,福壽,0,0,1964000,13.45
20260102,1220,台榮,0,0,755000,12.5
20260102,1227,佳格,25000,37000,11120000,30.15
20260102,1229,聯華,1365000,1162000,11182000,47
20260102,1231,聯華食,78000,7000,5410000,95.7
20260102,1232,大統益,0,0,441000,145
20260102,1233,天仁,0,0,126000,32.15
20260102,1234,黑松,0,0,1298000,37.65
20260102,1235,興泰,0,0,58000,46
20260102,1236,宏亞,0,0,145000,25.65
20260102,1240,茂生農經,0,0,23000,60
20260102,1256,鮮活果汁-KY,0,0,244000,145.5
20260102,1259,安心,0,0,16000,61.3
20260102,1264,德麥,0,0,16000,281
20260102,1268,漢來美食,0,0,68000,160
20260102,1294,漢田生技,0,0,71000,78.8
20260102,1295,生合,0,12000,396000,86.3
20260102,1301,台塑,6180000,2085000,269853000,38.45
20260102,1303,南亞,20619000,3465000,202682000,57
20260102,1304,台聚,727000,0,17000000,10.65
20260102,1305,華夏,37000,0,12066000,10.75
20260102,1307,三芳,296000,2000,6756000,31.15
20260102,1308,亞聚,587000,40000,7987000,12.85
20260102,1309,台達化,57000,0,5809000,10.9
20260102,1310,台苯,7000,158000,8478000,8.68
20260102,1312,國喬,906000,115000,52444000,11.3
20260102,1313,聯成,8000,45000,11524000,9.83
