日期,代號,名稱,收市,漲跌,開市,最高,最低,筆數,單位,金額,明日參價
20260102,11011,台泥一永,97,-1.6,97,97,97,1,1,97000,97
20260102,12561,鮮活果汁一KY,94.55,-0.45,95.4,95.4,94.55,4,6,568950,94.55
20260102,13164,上曜四,103.9,-0.05,104.3,104.3,103.05,12,37,3843050,103.9
20260102,13166,上曜六,112.05,-0.6,,112.05,112.05,1,1,112050,112.05
20260102,13382,廣華二KY,101.1,0.5,100.8,101.1,100.7,5,8,806500,101.1
20260102,140201,遠東新E1永,,,,,,,,,103.45
20260102,140202,遠東新E2永,98.3,0.15,96.5,98.3,96.5,2,2,194800,98.3
20260102,14363,華友聯三,99.6,0.1,99.5,99.6,99.5,2,7,696600,99.6
20260102,14364,華友聯四,95.95,-0.25,95.95,95.95,95.95,1,1,95950,95.95
20260102,14381,三地開發一,,,,,,,,,119.7
20260102,14664,聚隆四,105.05,,105.05,105.05,105.05,2,6,630300,105.05
20260102,14722,三洋實業二,,,,,,,,,105.5
20260102,14723,三洋實業三,95.75,0.05,95.75,95.75,95.75,2,5,478750,95.75
20260102,14743,弘裕三,,,,,,,,,94
20260102,15142,亞力二,116.05,-0.15,116.2,117,116,18,36,4181950,116.05
20260102,15261,日馳一,,,,,,,,,96.75
20260102,15364,和大四,97.35,0.15,97.25,97.65,97.25,10,15,1460150,97.35
20260102,15601,中砂一,144.95,1.95,144,146.45,143.1,44,127,18441750,144.95
20260102,15864,和勤四,105.4,-0.25,105.4,105.4,105.4,1,1,105400,105.4
20260102,15865,和勤五,,,,,,,,,99.4
20260102,15894,永冠四KY,100.75,0.1,100.7,100.75,100.7,8,16,1611700,100.75
20260102,15952,川寶二,,,,,,,,,119.55
20260102,15984,岱宇四,,,,,,,,,96
20260102,16095,大亞五,105.2,1.15,105.2,105.2,105.2,1,1,105200,105.2
20260102,17813,合世三,,,,,,,,,101.3
20260102,17863,科妍三,,,,,,,,,123
20260102,18156,富喬六,,,,,,,,,696
20260102,19094,榮成四,,,,,,,,,96.25
20260102,20344,允強四,107.6,-1.3,107.6,107.6,107.6,1,10,1076000,107.6
20260102,20632,世鎧二,,,,,,,,,99.8
20260102,20662,世德二,,,,,,,,,97.05
20260102,21043,國際中橡三,,,,,,,,,98.45
20260102,22013,裕隆三,99.5,0.3,99.5,99.5,99.5,1,20,1990000,99.5
20260102,22283,劍麟三,129,2.75,127.05,129,127.05,10,15,1927750,129
20260102,22362,百達二KY,,,,,,,,,190
20260102,22471,汎德永業一,105.45,,105.25,105.45,105.25,2,2,210700,105.45
20260102,22472,汎德永業二,106.15,-0.35,106.5,106.55,106.15,12,18,1915950,106.15
20260102,23372,旺宏二,190,17,179,190,179,41,147,27449000,190
20260102,23383,光罩三,98,-0.75,98,98,98,1,1,98000,98
20260102,23511,順德一,124.95,1.05,125,125,123.45,10,16,1979000,124.95
20260102,23683,金像電三,154,-5,158,158,150,239,1572,244045000,154
20260102,24023,毅嘉三,131.8,0.7,132,133.5,131.7,21,48,6350250,131.8
20260102,24271,三商電一,104.4,-0.3,104,104.4,103.8,6,33,3440000,104.4
20260102,24361,偉詮電一,,,,,,,,,110.15
20260102,24394,美律四,103,0.3,102.25,103.95,102.25,16,24,2472300,103
20260102,24395,美律五,104.75,0.7,103.85,104.75,103.5,7,15,1556200,104.75
20260102,24423,新美齊三,100.3,-3.5,101,101,100.3,9,18,1814350,100.3
20260102,24424,新美齊四,100.2,-2.8,100,100.2,100,2,24,2400200,100.2
20260102,24616,光群雷六,,,,,,,,,138
20260102,24624,良得電四,102,1.1,102,102,102,3,5,510000,102
20260102,24642,盟立二,105.4,1.55,105.4,105.4,105.4,1,1,105400,105.4
20260102,24762,鉅祥二,138,5,134,139,134,33,79,10767000,138
20260102,24866,一詮六,,,,,,,,,108
20260102,25283,皇普三,,,,,,,,,109.9
20260102,25284,皇普四,92,0.15,91.9,92,91.9,3,3,275900,92
20260102,25303,華建三,94.8,-0.4,94.8,94.8,94.8,1,1,94800,94.8
20260102,25304,華建四,,,,,,,,,97.9
20260102,25483,華固三,103.6,-0.95,104.55,104.55,101,21,103,10658300,103.6
20260102,25484,華固四,,,,,,,,,104.45
20260102,26107,華航七,123.8,1.6,123.8,123.8,123.8,1,1,123800,123.8
20260102,26417,正德七,,,,,,,,,100.7
20260102,26418,正德八,108.9,,108.9,108.9,108.9,1,1,108900,108.9
20260102,27271,王品一,107.35,-0.25,107,107.35,106.9,15,33,3529700,107.35
20260102,27323,六角三,,,,,,,,,100.5
20260102,27324,六角四,,,,,,,,,107.4
20260102,27431,山富一,103.5,0.7,103,103.5,103,7,19,1961550,103.5
20260102,27531,八方雲集一,110,,110,110,110,5,22,2420000,110
20260102,27532,八方雲集二,110.2,,110.15,110.2,110.15,3,8,881300,110.2
20260102,27551,揚秦一,,,,,,,,,135.9
20260102,27561,聯發國際一,,,,,,,,,112.7
20260102,29051,三商一,,,,,,,,,99.7
20260102,29061,高林一,98.5,-0.9,98.5,98.5,98.5,1,8,788000,98.5
20260102,30061,晶豪科一,161,13.3,147.5,161,145.5,225,1128,176309150,161
20260102,30134,晟銘電四,129.25,0.1,130,130,129.2,14,21,2719500,129.25
20260102,30165,嘉晶五,,,,,,,,,102.9
20260102,30321,偉訓一,95.75,1.25,95.75,95.75,95.75,1,1,95750,95.75
