日期,債券代碼,債券簡稱,轉換起日,轉換迄日,轉換價格,下次轉換價格生效日期,最近賣回權起日,最近賣回權迄日,最近賣回權價格,強制贖回起日,強制贖回迄日,強制贖回價格,終止櫃檯買賣日,原始發行總額,上月底發行餘額,轉債參考價格,轉換標的股票價格,停止交易起日,停止交易迄日,票面利率
20260202,140201,遠東新E1永,2024/11/9,2029/8/8,45.4,2024/8/8,,,100,,,0,,1000000000,1000000000,104.85,21.95,,,0
20260202,140202,遠東新E2永,2024/11/9,2029/8/8,33.7,2024/8/8,,,0,,,0,,1500000000,1499200000,97.4,21.95,,,0
20260202,14381,三地開發一,2025/3/20,2029/12/19,55.88,2024/12/26,,,0,,,0,,970000000,970000000,119.7,32.3,,,0
20260202,15984,岱宇四,2025/6/4,2028/3/3,33.4,2025/3/27,,,0,,,0,,200000000,200000000,96.5,20.2,,,0
20260202,21043,國際中橡三,2024/1/14,2028/10/13,21.2,2023/10/13,,,0,,,0,,3500000000,3500000000,99.1,10.95,,,0
20260202,22331,宇隆一,2026/4/24,2029/1/23,250,2026/1/15,,,0,,,0,,1300000000,1300000000,136,288.5,,,0
20260202,23742,佳能二,2026/5/3,2031/2/2,86.8,2026/2/2,,,0,,,0,,300000000,300000000,111.1,79.7,,,0
20260202,24271,三商電一,2024/3/14,2028/12/13,26.3,2025/8/11,,,0,,,0,,500000000,468400000,103.45,25.15,,,0
20260202,24552,全新二,2026/4/24,2029/1/23,162.9,2026/1/23,,,0,,,0,,500000000,500000000,136,156.5,,,0
20260202,24553,全新三,2026/4/28,2029/1/27,153.5,2026/1/27,,,0,,,0,,500000000,500000000,136.55,156.5,,,0
20260202,24672,志聖二,2026/4/10,2029/1/9,250.6,2026/1/9,,,0,,,0,,700000000,700000000,125,242.5,,,0
20260202,24673,志聖三,2026/4/23,2029/1/22,246.6,2026/1/22,,,0,,,0,,1000000000,1000000000,124,242.5,,,0
20260202,25283,皇普三,2025/4/1,2029/12/31,42.4,2025/8/5,,,0,,,0,,600000000,600000000,106,27.05,,,0
20260202,25284,皇普四,2025/4/18,2030/1/17,41,2025/8/5,,,0,,,0,,500000000,500000000,91.9,27.05,,,0
20260202,26417,正德七,2024/10/27,2027/7/26,22.15,2025/7/5,,,0,,,0,,590000000,576700000,101.1,20,,,0
20260202,27271,王品一,2023/6/30,2028/3/29,233.4,2025/7/11,2026/2/17,2026/3/29,100.7519,,,0,,700000000,699900000,104.15,212,,,0
20260202,30454,台灣大四,2025/5/25,2030/2/24,118.2,2025/7/15,,,0,,,0,,7000000000,7000000000,98.35,105,,,0
20260202,30455,台灣大五,2025/5/26,2030/2/25,111.3,2025/7/15,,,0,,,0,,3000000000,3000000000,101.85,105,,,0
20260202,30922,鴻碩二,2023/10/5,2026/7/4,36,2023/8/14,,,101.0025,,,0,,250000000,46300000,98.95,23.95,,,0
20260202,32071,耀勝一,2024/6/26,2027/3/25,100.99,2024/12/19,2026/2/13,2026/3/25,102.01,,,0,,500000000,487100000,101,67.1,,,0
20260202,35871,閎康一,2023/9/21,2026/6/20,200.7,2024/7/20,,,0,,,0,,600000000,450700000,116.05,205,,,0
20260202,36841,榮昌一,2026/1/29,2028/10/28,50.7,2025/10/28,,,0,,,0,,300000000,300000000,119,52.2,,,0
20260202,36894,湧德四,2024/6/6,2027/3/5,61.7,2025/8/9,2026/2/4,2026/3/5,100,,,0,,500000000,0,180,107.5,,,0
20260202,370201,大聯大E1,2026/4/15,2029/1/14,160.8,2026/1/6,,,0,,,0,,3000000000,3000000000,110,152.5,,,0
20260202,37151,定穎投控一,2026/4/22,2029/1/21,140,2026/1/21,,,0,,,0,,500000000,500000000,136,138,,,0
20260202,37171,聯嘉投控一,2026/4/22,2029/1/21,17.5,2026/1/21,,,0,,,0,,700000000,700000000,106.15,17.05,,,0
20260202,41295,聯合五,2025/8/30,2030/5/29,105.6,2025/7/29,,,0,,,0,,700000000,699900000,118.85,110.5,,,0
20260202,49231,力士一,2026/4/30,2029/1/29,34.66,2026/1/29,,,0,,,0,,250000000,250000000,101.8,31,,,0
20260202,49674,十銓四,2026/4/16,2029/1/15,147,2026/1/7,,,0,,,0,,2000000000,2000000000,166,231,,,0
20260202,61011,寬魚國際一,2026/4/30,2029/1/29,36.9,2026/1/29,,,0,,,0,,150000000,150000000,111,39.5,,,0
20260202,61012,寬魚國際二,2026/5/1,2029/1/30,38.9,2026/1/30,,,0,,,0,,250000000,250000000,100.55,39.5,,,0
20260202,61394,亞翔四,2024/4/26,2027/1/25,157.6,2025/9/10,,,101.0025,2026/2/5,2026/3/6,100,2026-03-09 0:00:00,500000000,12800000,380,555,,,0
20260202,61793,亞通三,2023/10/26,2026/7/25,34.4,2025/12/23,,,101.0025,,,0,,300000000,47300000,101,26.9,,,0
20260202,61794,亞通四,2024/11/29,2027/8/28,29.1,2025/12/23,,,0,,,0,,600000000,595400000,103.8,26.9,,,0
