日期,代號,名稱,名目本金,成交筆數,權利金最低,權利金最高,權利金平均,契約期間
20260102,11011,台泥一永,21100000,2,2.95,3.96,3.9552,2
20260102,13164,上曜四,3600000,1,4.1689,4.1689,4.1689,1
20260102,15142,亞力二,2400000,7,22.1731,23.15,22.3042,2
20260102,15601,中砂一,4400000,12,47.15,50.59,48.6882,2
20260102,20344,允強四,1000000,1,12.63,12.63,12.63,2
20260102,22013,裕隆三,2000000,1,0.11,0.11,0.11,1
20260102,22283,劍麟三,300000,2,33.16,33.77,33.5667,2
20260102,22471,汎德永業一,100000,1,11.98,11.98,11.98,3
20260102,22472,汎德永業二,1700000,6,12.91,13.71,13.2324,3
20260102,23511,順德一,400000,3,31.7,32.89,32.4975,3
20260102,23683,金像電三,108000000,54,56.7,64.87,63.2975,3
20260102,24023,毅嘉三,4700000,12,37.58,39.44,38.1153,2
20260102,24271,三商電一,2500000,1,7.17,7.17,7.17,1
20260102,24394,美律四,1500000,5,6.39,7.19,7.0047,2
20260102,24395,美律五,1500000,4,7.26,7.98,7.674,2
20260102,24762,鉅祥二,5200000,10,36.63,41.08,39.3542,2
20260102,25483,華固三,6500000,6,8.92,10.22,9.7308,2
20260102,27271,王品一,2900000,5,6.79,6.91,6.8324,1
20260102,27271,王品一,100000,1,14.02,14.02,14.02,3
20260102,27431,山富一,1900000,3,7.175,7.6288,7.3784,2
20260102,27531,八方雲集一,2200000,3,17.52,17.78,17.5436,3
20260102,27532,八方雲集二,800000,3,17.86,18.06,17.9288,3
20260102,30061,晶豪科一,31900000,10,57.03,64.03,59.9565,1
20260102,30134,晟銘電四,1200000,3,33.19,34.38,33.8258,2
20260102,30337,威健七,13400000,3,9.41,10.5,10.2993,2
20260102,30371,欣興一,21400000,30,48.23,49.9,49.3512,3
20260102,30454,台灣大四,372500000,16,3.16,4.45,3.1865,3
20260102,30455,台灣大五,1100000,2,7.28,7.56,7.3055,3
20260102,31311,弘塑一,8400000,19,32.2,36.95,35.3983,3
20260102,31312,弘塑二,7200000,19,36.85,39.02,37.8735,3
20260102,31672,大量二,1400000,7,49.35,52.02,50.7257,3
20260102,33055,昇貿五,300000,1,53.74,53.74,53.74,1
20260102,33121,弘憶股一,700000,1,0.31,0.31,0.31,2
20260102,33245,雙鴻五,5200000,17,47.17,50.74,48.4696,2
20260102,33571,臺慶科一,5600000,14,42.17,51.39,46.647,1
20260102,33621,先進光一,700000,3,4.65,5.08,4.9143,2
20260102,33763,新日興三,500000,5,30.6,31.05,30.858,2
20260102,33902,旭軟二,700000,3,30,30.31,30.2429,3
20260102,34163,融程電三,44000000,20,25.32,27.41,25.9858,2
20260102,34793,安勤三,400000,1,11.37,11.37,11.37,2
20260102,35181,柏騰一,2100000,2,7.79,8.22,7.8105,2
20260102,35221,御嵿一,100000,1,12.65,12.65,12.65,1
20260102,35266,凡甲六,1000000,1,34.11,34.11,34.11,2
20260102,35267,凡甲七,5200000,11,20.82,23.37,21.899,3
20260102,35482,兆利二,300000,1,6.04,6.04,6.04,1
20260102,35513,世禾三,3500000,11,45.29,47.77,46.5897,3
20260102,35832,辛耘二,2900000,14,23.4,24.59,24.2114,1
20260102,35871,閎康一,1500000,7,18.58,19.36,18.95,1
20260102,36053,宏致三,200000,1,34.405,34.405,34.405,2
20260102,36173,碩天三,1400000,7,14.74,15.68,15.3757,3
20260102,36804,家登四,7600000,22,25.07,29.78,27.6399,1
20260102,37022,大聯大二,2700000,10,6.42,7.465,6.8674,2
20260102,37023,大聯大三,2500000,5,7.0672,8.38,7.3088,2
20260102,37083,上緯投控三,300000,2,38.76,39.95,39.1567,1
20260102,41135,聯上五,100000,1,19.92,19.92,19.92,3
20260102,41236,晟德六,1100000,8,24.47,26.63,25.6564,3
20260102,41295,聯合五,1200000,5,24.52,27.67,25.2458,3
20260102,41684,醣聯四,1400000,3,26.04,26.67,26.4143,3
20260102,44163,三圓三,100000,1,3.88,3.88,3.88,1
20260102,44383,廣越三,2200000,3,19.45,19.87,19.4964,3
20260102,45554,氣立四,2300000,3,12.07,12.31,12.0909,3
20260102,47223,國精化三,500000,4,51.24,52.55,51.796,3
20260102,47393,康普三,3300000,7,3.79,5.01,4.1864,1
20260102,47394,康普四,13600000,23,22.18,23.75,22.9771,3
20260102,47721,台特化一,33100000,93,37.19,43.65,40.5505,3
20260102,49066,正文六,500000,5,14.13,15.43,15.05,1
20260102,52121,凌網一,1000000,1,3.79,3.79,3.79,2
20260102,52635,智崴五,1300000,3,18.75,20.2,18.9531,1
20260102,52635,智崴五,1500000,5,21.04,22.99,22.0287,2
