日期,代號,名稱,成交量,成交值,開盤,最高,最低,收盤,成交筆數
20260202,1240,茂生農經,29000,1743600,60.3,61,59.9,59.9,24
20260202,1259,安心,8000,473100,59.9,59.9,58.6,59.1,8
20260202,1264,德麥,19000,5296000,279,287,277,279,14
20260202,1268,漢來美食,21000,3316000,158,158.5,157,158,19
20260202,1294,漢田生技,27000,2030900,75,76.4,73.6,75.5,20
20260202,1295,生合,97000,7721500,81.6,81.6,78,79.5,85
20260202,1336,台翰,112000,1786900,16.15,16.25,15.85,15.95,65
20260202,1565,精華,157000,17482000,113,113,110,111,125
20260202,1569,濱川,555000,28724300,51.4,52.5,50.8,51.7,333
20260202,1570,力肯,75000,2284400,30.25,31.1,30.25,30.35,39
20260202,1580,新麥,113000,14427500,130,130,127,128,100
20260202,1584,精剛,4089000,103956800,24.4,25.8,24.2,25.55,2067
20260202,1586,和勤,335000,8293700,25.2,25.2,24.6,24.65,263
20260202,1591,駿吉-KY,680000,34845200,51.1,52.8,50.3,50.3,410
20260202,1593,祺驊,20000,581700,29.1,29.25,29,29.25,17
20260202,1595,川寶,386000,15102400,38.5,40.45,37.7,39.5,312
20260202,1599,宏佳騰,22000,576950,26.5,26.5,26.15,26.15,20
20260202,1742,台蠟,79000,1272950,16.15,16.2,15.8,16.2,28
20260202,1777,生泰,24000,1728600,72.9,72.9,71.9,72.1,19
20260202,1781,合世,195000,2581950,13.1,13.75,12.85,12.95,124
20260202,1784,訊聯,289000,27358200,96,96,93.5,94.8,229
20260202,1785,光洋科,12470000,762184000,62.3,63.4,59.4,60.9,6223
20260202,1788,杏昌,11000,1499500,136.5,136.5,136,136.5,10
20260202,1796,金穎生技,9000,399150,44.5,44.5,44.15,44.2,8
20260202,1799,易威,165000,5374950,33.15,33.15,32.35,32.4,100
20260202,1813,寶利徠,5000,66150,13.2,13.3,13.15,13.3,5
20260202,1815,富喬,35670000,3122487900,90.4,90.4,85.2,87,19565
20260202,2035,唐榮,7000,199100,29,29,28,28.8,6
20260202,2061,風青,774000,15143350,19.85,20.05,19.1,19.4,434
20260202,2063,世鎧,5000,135250,27.1,27.1,26.85,26.85,5
20260202,2064,晉椿,3000,36250,12.15,12.15,12.05,12.05,3
20260202,2065,世豐,31000,981800,32,32,31.5,31.85,29
20260202,2066,世德,37000,1888400,52.8,52.8,50.7,51.3,35
20260202,2067,嘉鋼,47000,471630,10,10.1,9.99,10.05,31
20260202,2070,精湛,87000,3539900,42.35,42.35,40.1,40.7,65
20260202,2073,雄順,0,0,0,0,0,0,0
20260202,2221,大甲,68000,2067000,30.55,30.55,30.15,30.15,28
20260202,2230,泰茂,1160000,98183000,86.7,90.2,78.5,89.3,657
20260202,2235,謚源,5000,176850,35.5,35.5,35.15,35.15,5
20260202,2596,綠意,85000,2936450,34.1,34.9,33.9,34.65,61
20260202,2640,大車隊,54000,6743500,125,125.5,124,125,28
20260202,2641,正德,4279000,85902700,20.65,20.65,19.85,20,1727
20260202,2643,捷迅,18000,1295000,71.8,72,71.8,72,16
20260202,2718,全心投控,88000,4235500,48.9,48.9,47.8,48.3,66
20260202,2719,燦星旅,17000,480800,28.75,28.75,28.1,28.15,17
20260202,2724,藝舍-KY,8000,144450,17.65,18.6,17.65,18.05,8
20260202,2726,雅茗-KY,45000,529300,11.65,12,11.65,11.85,32
20260202,2729,瓦城,20000,3410500,171.5,171.5,170,170.5,19
20260202,2732,六角,93000,6193400,67.1,67.3,65.9,66.2,68
20260202,2734,易飛網,79000,1394150,17.75,17.8,17.55,17.8,59
20260202,2736,富野,83000,1148700,13.9,14,13.8,13.85,56
20260202,2740,天蔥,33000,1312300,37.85,40.95,37.85,40.6,29
20260202,2743,山富,120000,9334700,79,79,77.3,77.7,99
20260202,2745,五福,115000,11843500,104,104,102.5,103,97
20260202,2751,王座,1000,60100,60.1,60.1,60.1,60.1,1
20260202,2752,豆府,3000,616000,206,206,205,205,3
20260202,2754,亞洲藏壽司,14000,1094200,78.6,78.6,77.8,77.8,13
20260202,2755,揚秦,36000,4067500,112.5,114.5,112,114.5,31
20260202,2756,聯發國際,3000,226800,74.8,76,74.8,76,3
20260202,2916,滿心,112000,5200200,46.4,46.5,46.1,46.5,38
20260202,2924,宏太-KY,6000,114000,19.75,19.75,18.5,19.65,6
20260202,2926,誠品生活,16000,614400,38.55,38.55,37.9,37.9,7
20260202,2937,集雅社,17000,747000,43.5,44,43.5,44,5
20260202,2941,米斯特,13000,520700,40.8,40.8,39.6,39.6,10
20260202,2947,振宇五金,12000,960200,80.1,80.1,79.9,79.9,9
20260202,2948,寶陞,8000,313750,39.25,39.25,39.2,39.2,6
20260202,2949,欣新網,0,0,0,0,0,0,0
20260202,3064,泰偉,1000,48050,48.05,48.05,48.05,48.05,1
20260202,3066,李洲,62000,899000,14.8,15.05,14.3,14.65,45
20260202,3067,全域,4000,71700,17.5,18.1,17.5,18.05,4
20260202,3071,協禧,165000,3794900,23.4,23.4,22.85,23.2,122
20260202,3073,天方能源,104000,3145550,30.25,30.7,29.85,30,75
20260202,3078,僑威,766000,47292900,62.6,62.6,61.2,61.8,529
20260202,3081,聯亞,920000,887299000,973,999,939,999,741
20260202,3083,網龍,188000,6298950,34.45,34.5,33.15,33.25,129
20260202,3085,新零售,2000,26400,13.3,13.3,13.1,13.1,2
20260202,3086,華義,143000,32212000,227.5,229.5,220.5,225.5,135
20260202,3088,艾訊,308000,25112600,82.4,82.5,80.9,81.4,226
20260202,3093,港建*,229000,5899800,25.7,26,25.45,25.8,127
20260202,3095,及成,7000,212500,30.05,30.8,30,30,7
20260202,3105,穩懋,20686000,4588350500,227,232,214.5,221.5,11872
20260202,3114,好德,98000,2472200,25.7,25.7,25,25.35,53
20260202,3115,富榮綱,0,0,0,0,0,0,0
20260202,3118,進階,3000,98100,32.8,32.8,32.5,32.5,3
20260202,3122,笙泉,189000,4654900,24.8,25,24.4,24.4,145
20260202,3128,昇銳,185000,4841700,26.15,26.45,26.05,26.05,140
20260202,3131,弘塑,959000,1539750000,1630,1650,1585,1605,842
20260202,3141,晶宏,818000,37196750,47.1,47.1,44.8,44.85,535
20260202,3147,大綜,275000,45529000,165,168,164,164,233
20260202,3152,璟德,866000,129849000,149.5,154.5,147,149.5,644
20260202,3158,嘉實,8000,714700,89,89.7,89,89.1,8
20260202,3162,精確,1370000,81829000,59.2,60.4,58.5,59.8,748
20260202,3163,波若威,1570000,680526000,435,436,430,430,986
20260202,3169,亞信,135000,12737600,93.8,95.6,93.2,95,104
