日期,代號,名稱,成交量,成交值,開盤,最高,最低,收盤,成交筆數
20260102,1240,茂生農經,10000,597500,59,60,59,60,9
20260102,1259,安心,0,0,0,0,0,0,0
20260102,1264,德麥,19000,5343500,281,281.5,281,281,18
20260102,1268,漢來美食,32000,5119500,159,160.5,159,160,20
20260102,1294,漢田生技,13000,1014900,78,78.8,77.8,78.8,9
20260102,1295,生合,88000,7575300,85,86.7,85,86.3,73
20260102,1336,台翰,121000,1959300,16.2,16.3,16,16.3,74
20260102,1565,精華,124000,14491500,116.5,118,116,116,94
20260102,1569,濱川,886000,49261900,54,56.7,54,55.3,556
20260102,1570,力肯,116000,3714250,31.95,32.2,31.85,32,47
20260102,1580,新麥,28000,3753500,134,134.5,134,134,25
20260102,1584,精剛,494000,11345350,23.2,23.25,22.75,22.75,301
20260102,1586,和勤,310000,7782250,24.95,25.35,24.85,25.35,202
20260102,1591,駿吉-KY,1164000,62018900,51,54.5,50.8,52.9,534
20260102,1593,祺驊,68000,1967650,29,29.15,28.85,29,25
20260102,1595,川寶,742000,32656550,43.7,45.2,43.2,43.2,526
20260102,1599,宏佳騰,41000,1233250,30.2,30.3,29.9,29.95,35
20260102,1742,台蠟,245000,3633000,13.75,14.95,13.75,14.95,97
20260102,1777,生泰,42000,3079700,73.7,73.8,73.1,73.1,32
20260102,1781,合世,55000,605900,11,11.15,10.95,11,22
20260102,1784,訊聯,640000,68020000,105.5,109.5,103.5,105.5,498
20260102,1785,光洋科,14894000,988457900,67,67.9,65.1,65.7,8776
20260102,1788,杏昌,13000,1776000,137,137,136.5,136.5,12
20260102,1796,金穎生技,20000,945150,47.55,47.55,47.1,47.2,16
20260102,1799,易威,63000,2257800,36.5,36.5,35.6,35.8,42
20260102,1813,寶利徠,5000,64350,12.95,12.95,12.85,12.85,5
20260102,1815,富喬,77362000,7092305400,93,93.9,90.6,90.7,39921
20260102,2035,唐榮,11000,335500,30.5,30.5,30.5,30.5,6
20260102,2061,風青,177000,3299450,18.9,19.1,18.35,18.35,118
